"point_time","value","frequency","market","ba","datatype","version"
"2020-08-05T17:50:00.000Z","850.743407929422","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T17:45:00.000Z","850.743407929422","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T17:40:00.000Z","850.743407929422","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T17:35:00.000Z","850.743407929422","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T17:30:00.000Z","850.743407929422","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T17:25:00.000Z","850.743407929422","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T17:20:00.000Z","850.743407929422","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T17:15:00.000Z","850.743407929422","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T17:10:00.000Z","850.743407929422","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T17:05:00.000Z","850.743407929422","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T17:00:00.000Z","850.743407929422","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T16:55:00.000Z","850.743407929422","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T16:50:00.000Z","850.743407929422","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T16:45:00.000Z","850.743407929422","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T16:40:00.000Z","850.743407929422","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T16:35:00.000Z","850.743407929422","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T16:30:00.000Z","850.743407929422","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T16:25:00.000Z","857.980931681228","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T16:20:00.000Z","857.980931681228","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T16:15:00.000Z","857.980931681228","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T16:10:00.000Z","857.980931681228","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T16:05:00.000Z","857.980931681228","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T16:00:00.000Z","857.980931681228","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T15:55:00.000Z","857.980931681228","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T15:50:00.000Z","857.980931681228","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T15:45:00.000Z","857.980931681228","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T15:40:00.000Z","857.980931681228","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T15:35:00.000Z","857.980931681228","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T15:30:00.000Z","849.829343167479","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T15:25:00.000Z","849.829343167479","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T15:20:00.000Z","849.829343167479","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T15:15:00.000Z","857.313548971454","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T15:10:00.000Z","857.313548971454","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T15:05:00.000Z","861.661448069658","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T15:00:00.000Z","861.661448069658","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T14:55:00.000Z","861.661448069658","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T14:50:00.000Z","853.259201537084","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T14:45:00.000Z","853.259201537084","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T14:40:00.000Z","847.62774057783","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T14:35:00.000Z","847.024462920773","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T14:30:00.000Z","847.024462920773","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T14:25:00.000Z","847.024462920773","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T14:20:00.000Z","844.560741500091","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T14:15:00.000Z","844.560741500091","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T14:10:00.000Z","844.560741500091","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T14:05:00.000Z","834.623499821491","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T14:00:00.000Z","832.314630156342","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T13:55:00.000Z","832.314630156342","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T13:50:00.000Z","832.314630156342","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T13:45:00.000Z","832.314630156342","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T13:40:00.000Z","832.314630156342","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T13:35:00.000Z","824.801601299584","300","RTM","CAISO_ZP26","MOER","2.1.1"
