"point_time","value","frequency","market","ba","datatype","version"
"2020-08-05T13:30:00.000Z","824.801601299584","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T13:25:00.000Z","820.53882445871","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T13:20:00.000Z","820.53882445871","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T13:15:00.000Z","820.53882445871","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T13:10:00.000Z","820.53882445871","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T13:05:00.000Z","820.53882445871","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T13:00:00.000Z","820.53882445871","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T12:55:00.000Z","819.940409091699","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T12:50:00.000Z","820.53882445871","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T12:45:00.000Z","819.940409091699","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T12:40:00.000Z","819.940409091699","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T12:35:00.000Z","819.940409091699","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T12:30:00.000Z","819.940409091699","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T12:25:00.000Z","819.940409091699","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T12:20:00.000Z","819.940409091699","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T12:15:00.000Z","819.940409091699","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T12:10:00.000Z","819.940409091699","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T12:05:00.000Z","818.200078373474","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T12:00:00.000Z","819.940409091699","300","RTM","CAISO_ZP26","MOER","2.1.1"
