"point_time","value","frequency","market","ba","datatype","version"
"2020-08-05T23:55:00.000Z","914.098410468477","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T23:50:00.000Z","914.098410468477","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T23:45:00.000Z","914.098410468477","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T23:40:00.000Z","914.098410468477","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T23:35:00.000Z","914.098410468477","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T23:30:00.000Z","914.098410468477","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T23:25:00.000Z","914.098410468477","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T23:20:00.000Z","914.098410468477","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T23:15:00.000Z","914.098410468477","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T23:10:00.000Z","914.098410468477","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T23:05:00.000Z","914.098410468477","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T23:00:00.000Z","914.098410468477","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T22:55:00.000Z","914.098410468477","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T22:50:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T22:45:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T22:40:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T22:35:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T22:30:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T22:25:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T22:20:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T22:15:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T22:10:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T22:05:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T22:00:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T21:55:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T21:50:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T21:45:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T21:40:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T21:35:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T21:30:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T21:25:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T21:20:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T21:15:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T21:10:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
"2020-08-05T21:05:00.000Z","865.977867473876","300","RTM","CAISO_ZP26","MOER","2.1.1"
